Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,“Is Whole Word Masking Always Better for Chinese BERT?”: Probing on Chinese Grammatical Error Correction,,Yong Dai;Linyang Li;Cong Zhou;Zhangyin Feng;Enbo Zhao;Xipeng Qiu;Piji Li;Duyu Tang;,Tencent;Fudan University;,China;,Findings,https://aclanthology.org/2022.findings-acl.1/,https://aclanthology.org/2022.findings-acl.1.pdf,,
2,“That Is a Suspicious Reaction!”: Interpreting Logits Variation to Detect NLP Adversarial Attacks,,Edoardo Mosca;Shreyash Agarwal;Javier Rando Ramírez;Georg Groh;,Technical University of Munich;ETH Zurich;,Germany;Switzerland;,Long,https://aclanthology.org/2022.acl-long.538/,https://aclanthology.org/2022.acl-long.538.pdf,,
3,“You might think about slightly revising the title”: Identifying Hedges in Peer-tutoring Interactions,,Yann Raphalen;Chloé Clavel;Justine Cassell;,INRIA;Institut Polytechnique de Paris;Carnegie Mellon University;,France;United States;,Long,https://aclanthology.org/2022.acl-long.153/,https://aclanthology.org/2022.acl-long.153.pdf,,
4,(Un)solving Morphological Inflection: Lemma Overlap Artificially Inflates Models’ Performance,,Omer Goldman;David Guriel;Reut Tsarfaty;,Bar-Ilan University;,Israel;,Short,https://aclanthology.org/2022.acl-short.96/,https://aclanthology.org/2022.acl-short.96.pdf,,
5,[CASPI] Causal-aware Safe Policy Improvement for Task-oriented Dialogue,,Govardana Sachithanandam Ramachandran;Kazuma Hashimoto;Caiming Xiong;,Salesforce;,United States;,Long,https://aclanthology.org/2022.acl-long.8/,https://aclanthology.org/2022.acl-long.8.pdf,,
6,∞-former: Infinite Memory Transformer,,Pedro Henrique Martins;Zita Marinho;Andre Martins;,Instituto de Telecomunicações;DeepMind;Institute of Systems and Robotics;Instituto Superior Técnico;Unbabel;,Portugal;United Kingdom;;,Long,https://aclanthology.org/2022.acl-long.375/,https://aclanthology.org/2022.acl-long.375.pdf,,
7,A Closer Look at How Fine-tuning Changes BERT,,Yichu Zhou;Vivek Srikumar;,University of Utah;,United States;,Long,https://aclanthology.org/2022.acl-long.75/,https://aclanthology.org/2022.acl-long.75.pdf,,
8,A Comparative Study of Faithfulness Metrics for Model Interpretability Methods,,Chun Sik Chan;Huanqi Kong;Liang Guanqing;,Wisers Information Limited;,China;,Long,https://aclanthology.org/2022.acl-long.345/,https://aclanthology.org/2022.acl-long.345.pdf,,
9,A Comparison of Strategies for Source-Free Domain Adaptation,,Xin Su;Yiyun Zhao;Steven Bethard;,University of Arizona;,United States;,Long,https://aclanthology.org/2022.acl-long.572/,https://aclanthology.org/2022.acl-long.572.pdf,,
10,A Contrastive Framework for Learning Sentence Representations from Pairwise and Triple-wise Perspective in Angular Space,,Yuhao Zhang;Hongji Zhu;Yongliang Wang;Nan Xu;Xiaobo Li;Binqiang Zhao;,Alibaba Group;Chinese Academy of Sciences;,China;,Long,https://aclanthology.org/2022.acl-long.336/,https://aclanthology.org/2022.acl-long.336.pdf,,
11,A Copy-Augmented Generative Model for Open-Domain Question Answering,,Shuang Liu;Dong Wang;Xiaoguang Li;Minghui Huang;Meizhen Ding;,Huawei;AI Application Research Center;,China;;,Short,https://aclanthology.org/2022.acl-short.47/,https://aclanthology.org/2022.acl-short.47.pdf,,
12,A Feasibility Study of Answer-Agnostic Question Generation for Education,,Liam Dugan;Eleni Miltsakaki;Shriyash Upadhyay;Etan Ginsberg;Hannah Gonzalez;DaHyeon Choi;Chuning Yuan;Chris Callison-Burch;,University of Pennsylvania;,United States;,Findings,https://aclanthology.org/2022.findings-acl.151/,https://aclanthology.org/2022.findings-acl.151.pdf,,
13,A Few-Shot Semantic Parser for Wizard-of-Oz Dialogues with the Precise ThingTalk Representation,,Giovanni Campagna;Sina Semnani;Ryan Kearns;Lucas Jun Koba Sato;Silei Xu;Monica Lam;,,,Findings,https://aclanthology.org/2022.findings-acl.317/,https://aclanthology.org/2022.findings-acl.317.pdf,,
14,A Flexible Multi-Task Model for BERT Serving,,Tianwen Wei;Jianwei Qi;Shenghuan He;,Xiaomi Corporation;,China;,Short,https://aclanthology.org/2022.acl-short.89/,https://aclanthology.org/2022.acl-short.89.pdf,,
15,A Good Prompt Is Worth Millions of Parameters: Low-resource Prompt-based Learning for Vision-Language Models,,Woojeong Jin;Yu Cheng;Yelong Shen;Weizhu Chen;Xiang Ren;,University of Southern California;Microsoft;,United States;,Long,https://aclanthology.org/2022.acl-long.197/,https://aclanthology.org/2022.acl-long.197.pdf,,
16,A Graph Enhanced BERT Model for Event Prediction,,Li Du;Xiao Ding;Yue Zhang;Ting Liu;Bing Qin;,,,Findings,https://aclanthology.org/2022.findings-acl.206/,https://aclanthology.org/2022.findings-acl.206.pdf,,
17,A Meta-framework for Spatiotemporal Quantity Extraction from Text,,Qiang Ning;Ben Zhou;Hao Wu;Haoruo Peng;Chuchu Fan;Matt Gardner;,Amazon;University of Pennsylvania;Hooray Data;NewsBreak;Massachusetts Institute of Technology;Microsoft;,United States;;,Long,https://aclanthology.org/2022.acl-long.195/,https://aclanthology.org/2022.acl-long.195.pdf,,
18,A Model-agnostic Data Manipulation Method for Persona-based Dialogue Generation,,Yu Cao;Wei Bi;Meng Fang;Shuming Shi;Dacheng Tao;,University of Sydney;Tencent;Eindhoven University of Technology;JD;,Australia;China;Netherlands;,Long,https://aclanthology.org/2022.acl-long.550/,https://aclanthology.org/2022.acl-long.550.pdf,,
19,A Multi-Document Coverage Reward for RELAXed Multi-Document Summarization,,Jacob Parnell;Inigo Jauregi Unanue;Massimo Piccardi;,University of Technology Sydney;RoZetta Technology;,Australia;,Long,https://aclanthology.org/2022.acl-long.351/,https://aclanthology.org/2022.acl-long.351.pdf,,
20,A Natural Diet: Towards Improving Naturalness of Machine Translation Output,,Markus Freitag;David Vilar;David Grangier;Colin Cherry;George Foster;,Google;,United States;,Findings,https://aclanthology.org/2022.findings-acl.263/,https://aclanthology.org/2022.findings-acl.263.pdf,,
21,A Neural Network Architecture for Program Understanding Inspired by Human Behaviors,,Renyu Zhu;Lei Yuan;Xiang Li;Ming Gao;Wenyuan Cai;,East China Normal University;Shanghai Hypers Data Technology Inc.;,China;,Long,https://aclanthology.org/2022.acl-long.353/,https://aclanthology.org/2022.acl-long.353.pdf,,
22,A Neural Pairwise Ranking Model for Readability Assessment,,Justin Lee;Sowmya Vajjala;,University of Toronto;CSA Group;National Research Council;,Canada;,Findings,https://aclanthology.org/2022.findings-acl.300/,https://aclanthology.org/2022.findings-acl.300.pdf,,
23,A Novel Framework Based on Medical Concept Driven Attention for Explainable Medical Code Prediction via External Knowledge,,Tao Wang;Linhai Zhang;Chenchen Ye;Junxi Liu;Deyu Zhou;,Southeast University;,China;,Findings,https://aclanthology.org/2022.findings-acl.110/,https://aclanthology.org/2022.findings-acl.110.pdf,,
24,A Novel Perspective to Look At Attention: Bi-level Attention-based Explainable Topic Modeling for News Classification,,Dairui Liu;Derek Greene;Ruihai Dong;,Insight Centre for Data Analytics;University College Dublin;,Ireland;,Findings,https://aclanthology.org/2022.findings-acl.178/,https://aclanthology.org/2022.findings-acl.178.pdf,,
25,A Rationale-Centric Framework for Human-in-the-loop Machine Learning,,Jinghui Lu;Linyi Yang;Brian Namee;Yue Zhang;,University College Dublin;SenseTime;Westlake University;Westlake Institute for Advanced Study;,Ireland;China;,Long,https://aclanthology.org/2022.acl-long.481/,https://aclanthology.org/2022.acl-long.481.pdf,,
26,A Recipe for Arbitrary Text Style Transfer with Large Language Models,,Emily Reif;Daphne Ippolito;Ann Yuan;Andy Coenen;Chris Callison-Burch;Jason Wei;,Google;University of Pennsylvania;,United States;,Short,https://aclanthology.org/2022.acl-short.94/,https://aclanthology.org/2022.acl-short.94.pdf,,
27,A Risk-Averse Mechanism for Suicidality Assessment on Social Media,,Ramit Sawhney;Atula Neerkaje;Manas Gaur;,University of South Carolina;Manipal Institute of Technology;,United States;India;,Short,https://aclanthology.org/2022.acl-short.70/,https://aclanthology.org/2022.acl-short.70.pdf,,
28,A Sentence is Worth 128 Pseudo Tokens: A Semantic-Aware Contrastive Learning Framework for Sentence Embeddings,,Haochen Tan;Wei Shao;Han Wu;Ke Yang;Linqi Song;,City University of Hong Kong;Peking University;,China;,Findings,https://aclanthology.org/2022.findings-acl.22/,https://aclanthology.org/2022.findings-acl.22.pdf,,
29,A Simple but Effective Pluggable Entity Lookup Table for Pre-trained Language Models,,Deming Ye;Yankai Lin;Peng Li;Maosong Sun;Zhiyuan Liu;,Tsinghua University;Beijing National Research Center for Information Science and Technology;WeChat AI;Jiangsu Collaborative Innovation Center for Language Ability;,China;,Short,https://aclanthology.org/2022.acl-short.57/,https://aclanthology.org/2022.acl-short.57.pdf,,
30,A Simple Hash-Based Early Exiting Approach For Language Understanding and Generation,,Tianxiang Sun;Xiangyang Liu;Wei Zhu;Zhichao Geng;Lingling Wu;Yilong He;Yuan Ni;Guotong Xie;Xuanjing Huang;Xipeng Qiu;,Fudan University;East China Normal University;Ping An Health and Technology Company Limited;Ping An Healthcare Technology;Ping An International Smart City Technology Company Limited;Pengcheng Laboratory;,China;,Findings,https://aclanthology.org/2022.findings-acl.189/,https://aclanthology.org/2022.findings-acl.189.pdf,,
31,A Simple yet Effective Relation Information Guided Approach for Few-Shot Relation Extraction,,Yang Liu;Jinpeng Hu;Xiang Wan;Tsung-Hui Chang;,Chinese University of Hong Kong;Shenzhen Research Institute of Big Data;Pazhou Lab;,China;,Findings,https://aclanthology.org/2022.findings-acl.62/,https://aclanthology.org/2022.findings-acl.62.pdf,,
32,A Slot Is Not Built in One Utterance: Spoken Language Dialogs with Sub-Slots,,Sai Zhang;Yuwei Hu;Yuchuan Wu;Jiaman Wu;Yongbin Li;Jian Sun;Caixia Yuan;Xiaojie Wang;,Beijing University of Posts and Telecommunications;Independent Researcher;,China;;,Findings,https://aclanthology.org/2022.findings-acl.27/,https://aclanthology.org/2022.findings-acl.27.pdf,,
33,A Statutory Article Retrieval Dataset in French,,Antoine Louis;Gerasimos Spanakis;,Maastricht University;,Netherlands;,Long,https://aclanthology.org/2022.acl-long.468/,https://aclanthology.org/2022.acl-long.468.pdf,,
34,A Taxonomy of Empathetic Questions in Social Dialogs,,Ekaterina Svikhnushina;Iuliana Voinea;Anuradha Welivita;Pearl Pu;,EPFL;,Switzerland;,Long,https://aclanthology.org/2022.acl-long.211/,https://aclanthology.org/2022.acl-long.211.pdf,,
35,A Token-level Reference-free Hallucination Detection Benchmark for Free-form Text Generation,,Tianyu Liu;Yizhe Zhang;Chris Brockett;Yi Mao;Zhifang Sui;Weizhu Chen;Bill Dolan;,Peking University;Tencent;Meta;Microsoft;,China;United States;,Long,https://aclanthology.org/2022.acl-long.464/,https://aclanthology.org/2022.acl-long.464.pdf,,
36,A Transformational Biencoder with In-Domain Negative Sampling for Zero-Shot Entity Linking,,Kai Sun;Richong Zhang;Samuel Mensah;Yongyi Mao;Xudong Liu;,Beihang University;University of Sheffield;University of Ottawa;,China;United Kingdom;Canada;,Findings,https://aclanthology.org/2022.findings-acl.114/,https://aclanthology.org/2022.findings-acl.114.pdf,,
37,A Variational Hierarchical Model for Neural Cross-Lingual Summarization,,Yunlong Liang;Fandong Meng;Chulun Zhou;Jinan Xu;Yufeng Chen;Jinsong Su;Jie Zhou;,Beijing Jiao Tong University;Tencent;Xiamen University;,China;,Long,https://aclanthology.org/2022.acl-long.148/,https://aclanthology.org/2022.acl-long.148.pdf,,
38,A Well-Composed Text is Half Done! Composition Sampling for Diverse Conditional Generation,,Shashi Narayan;Gonçalo Simões;Yao Zhao;Joshua Maynez;Dipanjan Das;Michael Collins;Mirella Lapata;,Google;,United States;,Long,https://aclanthology.org/2022.acl-long.94/,https://aclanthology.org/2022.acl-long.94.pdf,,
39,ABC: Attention with Bounded-memory Control,,Hao Peng;Jungo Kasai;Nikolaos Pappas;Dani Yogatama;Zhaofeng Wu;Lingpeng Kong;Roy Schwartz;Noah A. Smith;,University of Washington;Amazon;DeepMind;Allen Institute for Artificial Intelligence;University of Hong Kong;Hebrew University of Jerusalem;,United States;United Kingdom;China;Israel;,Long,https://aclanthology.org/2022.acl-long.515/,https://aclanthology.org/2022.acl-long.515.pdf,,
40,AbductionRules: Training Transformers to Explain Unexpected Inputs,,Nathan Young;Qiming Bao;Joshua Bensemann;Michael Witbrock;,University of Auckland;,New Zealand;,Findings,https://aclanthology.org/2022.findings-acl.19/,https://aclanthology.org/2022.findings-acl.19.pdf,,
41,Accelerating Code Search with Deep Hashing and Code Classification,,Wenchao Gu;Yanlin Wang;Lun Du;Hongyu Zhang;Shi Han;Dongmei Zhang;Michael Lyu;,Chinese University of Hong Kong;Microsoft;University of Newcastle;,China;Australia;,Long,https://aclanthology.org/2022.acl-long.181/,https://aclanthology.org/2022.acl-long.181.pdf,,
42,Accurate Online Posterior Alignments for Principled Lexically-Constrained Decoding,,Soumya Chatterjee;Sunita Sarawagi;Preethi Jyothi;,Indian Institute of Technology Bombay;,India;,Long,https://aclanthology.org/2022.acl-long.460/,https://aclanthology.org/2022.acl-long.460.pdf,,
43,Achieving Conversational Goals with Unsupervised Post-hoc Knowledge Injection,,Bodhisattwa Prasad Majumder;Harsh Jhamtani;Taylor Berg-Kirkpatrick;Julian McAuley;,"University of California, San Diego;Carnegie Mellon University;",United States;,Long,https://aclanthology.org/2022.acl-long.224/,https://aclanthology.org/2022.acl-long.224.pdf,,
