Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,“Is this the real life? Is this just fantasy?”: Human proxemic preferences for recognizing robot gestures in physical reality and virtual reality,,Sahba El-Shawa;Noah Kraemer;Sara Sheikholeslami;Ross Mead;Elizabeth A. Croft;Sahba El-Shawa;Noah Kraemer;Sara Sheikholeslami;Ross Mead;Elizabeth A. Croft;,University of British Columbia;University of Queensland;Semio;,Canada;Australia;United States;,Poster,https://ieeexplore.ieee.org/document/8202178/,,,
2,“Me and you together” movement impact in multi-user collaboration tasks,,Miguel Faria;Rui Silva;Patrícia Alves-Oliveira;Francisco S. Melo;Ana Paiva;Miguel Faria;Rui Silva;Patrícia Alves-Oliveira;Francisco S. Melo;Ana Paiva;,University of Lisbon;INESC-ID;,Portugal;,Poster,https://ieeexplore.ieee.org/document/8206109/,,,
3,"12,000-fps Multi-object detection using HOG descriptor and SVM classifier",,Jianquan Li;Yingjie Yin;Xilong Liu;De Xu;Qingyi Gu;Jianquan Li;Yingjie Yin;Xilong Liu;De Xu;Qingyi Gu;,University of Chinese Academy of Sciences;,China;,Poster,https://ieeexplore.ieee.org/document/8206487/,,,
4,1D manipulation of a micrometer size particle actuated via thermocapillary convective flows,,Ronald Terrazas Mallea;Aude Bolopion;Jean-Charles Beugnot;Pierre Lambert;Michael Gauthier;Ronald Terrazas Mallea;Aude Bolopion;Jean-Charles Beugnot;Pierre Lambert;Michael Gauthier;,University Bourgogne Franche-Comté;Universite Libre de Bruxelles;,France;Belgium;,Poster,https://ieeexplore.ieee.org/document/8202187/,,,
5,2D omnidirectional navigation of a biped robot based on an egocentric orbit following,,Hiroshi Atsuta;Tomomichi Sugihara;Hiroshi Atsuta;Tomomichi Sugihara;,Osaka University;,Japan;,Poster,https://ieeexplore.ieee.org/document/8206417/,,,
6,3000Hz cell manipulation in a microfluidic channel,,Chia-Hung Dylan Tsai;Kaoru Teramura;Naoya Hosokawa;Koji Mizoue;Toshio Takayama;Makoto Kaneko;Chia-Hung Dylan Tsai;Kaoru Teramura;Naoya Hosokawa;Koji Mizoue;Toshio Takayama;Makoto Kaneko;,Osaka University;,Japan;,Poster,https://ieeexplore.ieee.org/document/8206132/,,,
7,3D bioprinting directly onto moving human anatomy,,John J. O'Neill;Reed A. Johnson;Rodney L. Dockter;Timothy M. Kowalewski;John J. O'Neill;Reed A. Johnson;Rodney L. Dockter;Timothy M. Kowalewski;,University of Minnesota;,United States;,Poster,https://ieeexplore.ieee.org/document/8202257/,,,
8,3D closed-loop motion control of swimmer with flexible flagella at low Reynolds numbers,,Ali Oulmas;Nicolas Andreff;Stéphane Régnier;Ali Oulmas;Nicolas Andreff;Stéphane Régnier;,FEMTO-ST Institute;Sorbonne Universités;,France;,Poster,https://ieeexplore.ieee.org/document/8206004/,,,
9,3D fully convolutional network for vehicle detection in point cloud,,Bo Li;Bo Li;,Trunk Inc.;,United States;,Poster,https://ieeexplore.ieee.org/document/8205955/,,,
10,3D mapping for multi hybrid robot cooperation,,Hartmut Surmann;Nils Berninger;Rainer Worst;Hartmut Surmann;Nils Berninger;Rainer Worst;,University of Applied Science Gelsenkirchen;Fraunhofer Institute for Intelligent Analysis and Information Systems IAIS;,Germany;,Poster,https://ieeexplore.ieee.org/document/8202217/,,,
11,3D object classification with point convolution network,,Xuzhan Chen;Youping Chen;Homayoun Najjaran;Xuzhan Chen;Youping Chen;Homayoun Najjaran;,University of British Columbia;Huazhong University of Science and Technology;,Canada;China;,Poster,https://ieeexplore.ieee.org/document/8202239/,,,
12,3D object instance recognition and pose estimation using triplet loss with dynamic margin,,Sergey Zakharov;Wadim Kehl;Benjamin Planche;Andreas Hutter;Slobodan Ilic;Sergey Zakharov;Wadim Kehl;Benjamin Planche;Andreas Hutter;Slobodan Ilic;,Technical University of Munich;Siemens AG;,Germany;,Poster,https://ieeexplore.ieee.org/document/8202207/,,,
