Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1,∇SLAM: Dense SLAM meets Automatic Differentiation,,Krishna Murthy Jatavallabhula;Ganesh Iyer;Liam Paull;Krishna Murthy Jatavallabhula;Ganesh Iyer;Liam Paull;,Université de Montréal;Carnegie Mellon University;,Canada;United States;,Poster,https://ieeexplore.ieee.org/document/9197519/,,,
2,2D to 3D Line-Based Registration with Unknown Associations via Mixed-Integer Programming,,Steven A. Parkison;Jeffrey M. Walls;Ryan W. Wolcott;Mohammad Saad;Ryan M. Eustice;Steven A. Parkison;Jeffrey M. Walls;Ryan W. Wolcott;Mohammad Saad;Ryan M. Eustice;,Toyota Research Institute;,United States;,Poster,https://ieeexplore.ieee.org/document/9196718/,,,
3,360SD-Net: 360° Stereo Depth Estimation with Learnable Cost Volume,,Ning-Hsu Wang;Bolivar Solarte;Yi-Hsuan Tsai;Wei-Chen Chiu;Min Sun;Ning-Hsu Wang;Bolivar Solarte;Yi-Hsuan Tsai;Wei-Chen Chiu;Min Sun;,National Tsing Hua University;NEC Labs America;National Chiao Tung University;,China;United States;,Poster,https://ieeexplore.ieee.org/document/9196975/,,,
4,3D Object Detection and Tracking Based on Streaming Data,,Xusen Guo;Jianfeng Gu;Silu Guo;Zixiao Xu;Chengzhang Yang;Shanghua Liu;Long Cheng;Kai Huang;Xusen Guo;Jianfeng Gu;Silu Guo;Zixiao Xu;Chengzhang Yang;Shanghua Liu;Long Cheng;Kai Huang;,Sun Yat-sen University;,China;,Poster,https://ieeexplore.ieee.org/document/9197183/,,,
5,3D Orientation Estimation and Vanishing Point Extraction from Single Panoramas Using Convolutional Neural Network,,Yongjie Shi;Xin Tong;Jingsi Wen;He Zhao;Xianghua Ying;Hongbin Zha;Yongjie Shi;Xin Tong;Jingsi Wen;He Zhao;Xianghua Ying;Hongbin Zha;,Peking University;,China;,Poster,https://ieeexplore.ieee.org/document/9196966/,,,
6,3D Scene Geometry-Aware Constraint for Camera Localization with Deep Learning,,Mi Tian;Qiong Nie;Hao Shen;Mi Tian;Qiong Nie;Hao Shen;,Meituan-Dianping Group;,China;,Poster,https://ieeexplore.ieee.org/document/9196940/,,,
7,3D-CNN Based Heuristic Guided Task-Space Planner for Faster Motion Planning,,Ryo Terasawa;Yuka Ariki;Takuya Narihira;Toshimitsu Tsuboi;Kenichiro Nagasaka;Ryo Terasawa;Yuka Ariki;Takuya Narihira;Toshimitsu Tsuboi;Kenichiro Nagasaka;,Sony Corporation;,Japan;,Poster,https://ieeexplore.ieee.org/document/9196883/,,,
8,3D-Printed Electroactive Hydraulic Valves for Use in Soft Robotic Applications,,Nicholas Bira;Yiği Mengüç;Joseph R. Davidson;Nicholas Bira;Yiği Mengüç;Joseph R. Davidson;,Oregon State University;,United States;,Poster,https://ieeexplore.ieee.org/document/9196993/,,,
9,3DCFS: Fast and Robust Joint 3D Semantic-Instance Segmentation via Coupled Feature Selection,,Liang Du;Jingang Tan;Xiangyang Xue;Lili Chen;Hongkai Wen;Jianfeng Feng;Jiamao Li;Xiaolin Zhang;Liang Du;Jingang Tan;Xiangyang Xue;Lili Chen;Hongkai Wen;Jianfeng Feng;Jiamao Li;Xiaolin Zhang;,Fudan University;Chinese Academy of Sciences;,China;,Poster,https://ieeexplore.ieee.org/document/9197242/,,,
10,4D Generic Video Object Proposals,,Aljoša Ošep;Paul Voigtlaender;Mark Weber;Jonathon Luiten;Bastian Leibe;Aljoša Ošep;Paul Voigtlaender;Mark Weber;Jonathon Luiten;Bastian Leibe;,Technical University of Munich;RWTH Aachen University;,Germany;,Poster,https://ieeexplore.ieee.org/document/9196949/,,,
11,6-DOF Grasping for Target-driven Object Manipulation in Clutter,,Adithyavairavan Murali;Arsalan Mousavian;Clemens Eppner;Chris Paxton;Dieter Fox;Adithyavairavan Murali;Arsalan Mousavian;Clemens Eppner;Chris Paxton;Dieter Fox;,NVIDIA;,United States;,Poster,https://ieeexplore.ieee.org/document/9197318/,,,
12,6-PACK: Category-level 6D Pose Tracker with Anchor-Based Keypoints,,Chen Wang;Roberto Martín-Martín;Danfei Xu;Jun Lv;Cewu Lu;Li Fei-Fei;Silvio Savarese;Yuke Zhu;Chen Wang;Roberto Martín-Martín;Danfei Xu;Jun Lv;Cewu Lu;Li Fei-Fei;Silvio Savarese;Yuke Zhu;,Shanghai Jiao Tong University;Stanford University;,China;United States;,Poster,https://ieeexplore.ieee.org/document/9196679/,,,
13,6D Object Pose Regression via Supervised Learning on Point Clouds,,Ge Gao;Mikko Lauri;Yulong Wang;Xiaolin Hu;Jianwei Zhang;Simone Frintrop;Ge Gao;Mikko Lauri;Yulong Wang;Xiaolin Hu;Jianwei Zhang;Simone Frintrop;,University of Hamburg;Tsinghua University;,Germany;China;,Poster,https://ieeexplore.ieee.org/document/9197461/,,,
