Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
1,Bootstrapped Meta-Learning,,Sebastian Flennerhag;Yannick Schroecker;Tom Zahavy;Hado van Hasselt;David Silver;Satinder Singh;,Google;,Oral,https://openreview.net/forum?id=b-ny3x071E5,https://openreview.net/pdf?id=b-ny3x071E5
2,A Fine-Grained Analysis on Distribution Shift,,Olivia Wiles;Sven Gowal;Florian Stimberg;Sylvestre-Alvise Rebuffi;Ira Ktena;Krishnamurthy Dj Dvijotham;Ali Taylan Cemgil;,Google;,Oral,https://openreview.net/forum?id=Dl4LetuLdyK,https://openreview.net/pdf?id=Dl4LetuLdyK
3,Filtered-CoPhy: Unsupervised Learning of Counterfactual Physics in Pixel Space,,Steeven JANNY;Fabien Baradel;Natalia Neverova;Madiha Nadri;Greg Mori;Christian Wolf;,NAVER LABS;Meta;,Oral,https://openreview.net/forum?id=1L0C5ROtFp,https://openreview.net/pdf?id=1L0C5ROtFp
4,Towards a Unified View of Parameter-Efficient Transfer Learning,,Junxian He;Chunting Zhou;Xuezhe Ma;Taylor Berg-Kirkpatrick;Graham Neubig;,"Carnegie Mellon University;University of Southern California;University of California, San Diego;",Spotlight,https://openreview.net/forum?id=0RDcd5Axok,https://openreview.net/pdf?id=0RDcd5Axok
5,Diffusion-Based Voice Conversion with Fast Maximum Likelihood Sampling Scheme,,Vadim Popov;Ivan Vovk;Vladimir Gogoryan;Tasnima Sadekova;Mikhail Sergeevich Kudinov;Jiansheng Wei;,Huawei;,Oral,https://openreview.net/forum?id=8c50f-DoWAu,https://openreview.net/pdf?id=8c50f-DoWAu
6,Self-Supervision Enhanced Feature Selection with Correlated Gates,,Changhee Lee;Fergus Imrie;Mihaela van der Schaar;,"Chungang University;University of California, Los Angeles;",Spotlight,https://openreview.net/forum?id=oDFvtxzPOx,https://openreview.net/pdf?id=oDFvtxzPOx
7,Sample Efficient Deep Reinforcement Learning via Uncertainty Estimation,,Vincent Mai;Kaustubh Mani;Liam Paull;,University of Montreal;,Spotlight,https://openreview.net/forum?id=vrW3tvDfOJQ,https://openreview.net/pdf?id=vrW3tvDfOJQ
8,Scaling Laws for Neural Machine Translation,,Behrooz Ghorbani;Orhan Firat;Markus Freitag;Ankur Bapna;Maxim Krikun;Xavier Garcia;Ciprian Chelba;Colin Cherry;,Google;,Spotlight,https://openreview.net/forum?id=hR_SMu8cxCV,https://openreview.net/pdf?id=hR_SMu8cxCV
9,Score-Based Generative Modeling with Critically-Damped Langevin Diffusion,,Tim Dockhorn;Arash Vahdat;Karsten Kreis;,University of Waterloo;NVIDIA;,Spotlight,https://openreview.net/forum?id=CzceR82CYc,https://openreview.net/pdf?id=CzceR82CYc
10,DISCOVERING AND EXPLAINING THE REPRESENTATION BOTTLENECK OF DNNS,,Huiqi Deng;Qihan Ren;Hao Zhang;Quanshi Zhang;,Shanghai Jiao Tong University;,Oral,https://openreview.net/forum?id=iRCUlgmdfHJ,https://openreview.net/pdf?id=iRCUlgmdfHJ
